,train_loss,test_acc,test_error,GFN_losses,test_acc_OOD,test_error_OOD
0,2.4230302274227142,0.165,8350,0,0.165,8350.0
1,2.2935569286346436,0.165,8350,0,0.165,8350.0
2,2.2758702635765076,0.165,8350,0,0.165,8350.0
3,2.276990294456482,0.165,8350,0,0.165,8350.0
4,2.275380790233612,0.1646,8354,0,0.16473333333333331,8354.0
5,2.2639782428741455,0.1635,8365,0,0.16443333333333332,8365.0
6,2.2740589380264282,0.1619,8381,0,0.16326666666666667,8381.0
7,2.2697641253471375,0.1906,8094,0,0.18936666666666668,8094.0
8,2.2627983391284943,0.1917,8083,0,0.18923333333333334,8083.0
9,2.263104557991028,0.1918,8082,0,0.18893333333333331,8082.0
10,2.2645107209682465,0.1932,8068,0,0.1894,8068.0
11,2.2533367574214935,0.1933,8067,0,0.18976666666666664,8067.0
12,2.2578563392162323,0.1913,8087,0,0.18886666666666665,8087.0
13,2.2506974041461945,0.1907,8093,0,0.1896,8093.0
14,2.2548458874225616,0.1904,8096,0,0.18933333333333335,8096.0
15,2.257379949092865,0.1924,8076,0,0.18953333333333333,8076.0
16,2.2540692389011383,0.1923,8077,0,0.18953333333333333,8077.0
17,2.2282776832580566,0.1959,8041,0,0.19046666666666667,8041.0
18,2.159788131713867,0.1939,8061,0,0.18530000000000002,8061.0
19,2.1313181817531586,0.1798,8202,0,0.16723333333333334,8202.0
20,2.131696969270706,0.159,8410,0,0.1512,8410.0
21,2.084599107503891,0.1685,8315,0,0.1394,8315.0
22,2.057171255350113,0.2121,7879,0,0.17920000000000003,7879.0
23,2.0925896167755127,0.2255,7745,0,0.17779999999999999,7745.0
24,2.0305293649435043,0.2262,7738,0,0.18223333333333333,7738.0
25,1.9956158995628357,0.2321,7679,0,0.18426666666666666,7679.0
26,1.9513717740774155,0.2423,7577,0,0.1904,7577.0
27,1.977081835269928,0.236,7640,0,0.18530000000000002,7640.0
28,1.9458817094564438,0.2392,7608,0,0.1894,7608.0
29,1.9653584510087967,0.2436,7564,0,0.1856,7564.0
30,2.056892216205597,0.1976,8024,0,0.17356666666666665,8024.0
31,2.009021759033203,0.2236,7764,0,0.17886666666666665,7764.0
32,1.975141003727913,0.2187,7813,0,0.1833,7813.0
33,1.9249544590711594,0.2375,7625,0,0.18453333333333333,7625.0
34,1.9129949063062668,0.2438,7562,0,0.18813333333333335,7562.0
35,1.9317393451929092,0.2349,7651,0,0.16816666666666666,7651.0
36,1.903083086013794,0.2243,7757,0,0.1622,7757.0
37,1.9139456301927567,0.2231,7769,0,0.16643333333333332,7769.0
38,1.928540974855423,0.2434,7565,0,0.17226666666666668,7565.0
39,1.894225999712944,0.2114,7886,0,0.15576666666666666,7886.0
40,1.8754379153251648,0.2331,7669,0,0.16903333333333334,7669.0
41,1.8757016956806183,0.2274,7725,0,0.15706666666666666,7725.0
42,1.834396094083786,0.2362,7638,0,0.16043333333333334,7638.0
43,1.8058229833841324,0.2429,7571,0,0.161,7571.0
44,1.8024856001138687,0.2523,7477,0,0.16693333333333335,7477.0
45,1.781756803393364,0.2345,7655,0,0.15903333333333333,7655.0
46,1.7827256619930267,0.2529,7471,0,0.15786666666666668,7471.0
47,1.750049203634262,0.2814,7186,0,0.16623333333333334,7186.0
48,1.8290225267410278,0.2368,7632,0,0.1515,7632.0
49,1.873975694179535,0.2388,7612,0,0.15776666666666667,7612.0
50,1.9582386165857315,0.1844,8156,0,0.1570666666666667,8156.0
51,1.9623190611600876,0.2169,7831,0,0.15209999999999999,7831.0
52,1.9016667753458023,0.2619,7381,0,0.17066666666666666,7381.0
53,1.8743588775396347,0.2701,7299,0,0.1576,7299.0
54,1.8696401417255402,0.2497,7503,0,0.1555,7503.0
55,1.8135314136743546,0.2783,7217,0,0.15266666666666664,7217.0
56,1.7755916714668274,0.3028,6972,0,0.16620000000000001,6972.0
57,1.7526733428239822,0.2779,7221,0,0.16146666666666668,7221.0
58,1.7558739483356476,0.2996,7004,0,0.1644,7004.0
59,1.732122778892517,0.2861,7139,0,0.1553,7139.0
60,1.7584212571382523,0.2617,7383,0,0.14959999999999998,7383.0
61,1.7851000875234604,0.245,7550,0,0.154,7550.0
