,train_loss,test_acc,test_error,GFN_losses,test_acc_OOD,test_error_OOD
0,0.6303953936041545,0.9518,482,0,0.11713333333333333,482.0
1,0.25591549264596725,0.9641,359,0,0.12613333333333335,359.0
2,0.21761894894879003,0.9678,322,0,0.16026666666666667,322.0
3,0.19309543821412617,0.9832,168,0,0.13476666666666667,168.0
4,0.18089448334152763,0.9536,463,0,0.13196666666666665,463.0
5,0.14672857428442188,0.9837,162,0,0.1477,162.0
6,0.14430128618169313,0.9791,209,0,0.14273333333333335,209.0
7,0.11820715717844237,0.9695,304,0,0.152,304.0
8,0.10789603050917324,0.9873,127,0,0.11720000000000001,127.0
9,0.0930283509854124,0.9876,123,0,0.13729999999999998,123.0
10,0.09167426882752541,0.9817,182,0,0.1557333333333333,182.0
11,0.102689022728518,0.9889,110,0,0.16203333333333333,110.0
12,0.09046363412364841,0.9847,152,0,0.13583333333333333,152.0
13,0.08310691101440806,0.9748,252,0,0.13546666666666665,252.0
14,0.08285827481789566,0.9907,92,0,0.12710000000000002,92.0
15,0.08356144508100681,0.9836,163,0,0.1421,163.0
16,0.10045283452581877,0.9863,137,0,0.14633333333333334,137.0
17,0.06677997687053103,0.99,100,0,0.14273333333333335,100.0
18,0.0630860139212724,0.9926,73,0,0.19893333333333332,73.0
19,0.05616721431258073,0.9802,198,0,0.14930000000000002,198.0
20,0.05388514474352031,0.9792,208,0,0.12290000000000001,208.0
21,0.05417628550002459,0.9937,62,0,0.1463,62.0
22,0.04487185725750628,0.9855,144,0,0.16433333333333333,144.0
23,0.045959940572866974,0.9908,91,0,0.11926666666666667,91.0
24,0.041621093705633105,0.9904,96,0,0.11476666666666667,96.0
25,0.03495674111062724,0.967,330,0,0.15159999999999998,330.0
26,0.05116788142431242,0.9424,575,0,0.1319,575.0
27,0.043325998501897826,0.9902,98,0,0.2081333333333333,98.0
28,0.060044595236971435,0.992,80,0,0.16083333333333333,80.0
29,0.03275127844669785,0.9931,69,0,0.17243333333333333,69.0
30,0.03879189317406062,0.9903,97,0,0.14623333333333333,97.0
31,0.025268876518339797,0.9948,51,0,0.1519,51.0
32,0.027627383316330897,0.994,60,0,0.13183333333333333,60.0
33,0.023880440427561545,0.9901,99,0,0.14930000000000002,99.0
34,0.031516168799091464,0.9921,79,0,0.16463333333333333,79.0
35,0.024886461893351735,0.9939,60,0,0.12553333333333333,60.0
36,0.07094243289875501,0.9918,81,0,0.14063333333333336,81.0
37,0.027853728936940953,0.9922,78,0,0.16096666666666667,78.0
38,0.021699256584280853,0.9937,62,0,0.14883333333333335,62.0
