,train_loss,test_acc,test_error,GFN_losses,test_acc_OOD,test_error_OOD
0,2.0988761178277966,0.3859,6141,0,0.20833333333333334,6141.0
1,1.5344328095983668,0.6168,3832,0,0.25379999999999997,3832.0
2,1.3509809128276964,0.6727,3273,0,0.29119999999999996,3273.0
3,1.1922036409378052,0.7335,2664,0,0.2910333333333333,2664.0
4,1.055749337294547,0.8326,1674,0,0.33926666666666666,1674.0
5,0.9722430221281334,0.8643,1357,0,0.3754,1357.0
6,0.8493781884511312,0.7884,2116,0,0.3145,2116.0
7,0.7332510739616906,0.8792,1208,0,0.3837,1208.0
8,0.6579954823378285,0.8929,1070,0,0.4042333333333333,1070.0
9,0.6571186375763611,0.8952,1048,0,0.42110000000000003,1048.0
10,0.6996202843871624,0.8971,1029,0,0.3972333333333334,1029.0
11,0.6559082973377867,0.8528,1472,0,0.3622666666666667,1472.0
12,0.6453118021575568,0.9053,947,0,0.4000000000000001,947.0
13,0.5478544535333157,0.9104,896,0,0.4174333333333334,896.0
14,0.5850730690240444,0.7494,2506,0,0.28296666666666664,2506.0
15,0.6567267075467068,0.8961,1039,0,0.4016333333333333,1039.0
16,0.5050680643600943,0.9,999,0,0.4014,999.0
17,0.4651015890050309,0.9117,883,0,0.3929,883.0
18,0.6174212780766463,0.8686,1313,0,0.36033333333333334,1313.0
19,0.4681066425995053,0.9201,798,0,0.4378666666666666,798.0
20,0.3710566084266333,0.9208,792,0,0.425,792.0
21,0.32814461707964826,0.9237,763,0,0.4532,763.0
22,0.3033953660913787,0.9178,822,0,0.4133333333333334,822.0
23,0.2766873492074262,0.9287,713,0,0.45436666666666664,713.0
24,0.25993878395665587,0.9251,748,0,0.46773333333333333,748.0
25,0.23797488818513993,0.9234,766,0,0.4279,766.0
26,0.24434569638619041,0.9268,732,0,0.4371,732.0
27,0.40035547178245134,0.9159,840,0,0.4419666666666666,840.0
28,0.24285257261825066,0.9273,726,0,0.4371,726.0
29,0.18710098762136687,0.9285,715,0,0.457,715.0
30,0.182002128812161,0.9256,744,0,0.46259999999999996,744.0
31,0.16352140375560906,0.9198,802,0,0.44436666666666663,802.0
32,0.16063520275251403,0.9295,705,0,0.43436666666666673,705.0
33,0.15002916752316878,0.9311,688,0,0.4719666666666667,688.0
34,0.1724908738632737,0.9296,704,0,0.4655666666666667,704.0
35,0.13709274302342384,0.9278,722,0,0.4583000000000001,722.0
36,0.13880312941760398,0.9288,712,0,0.4545666666666666,712.0
37,0.13579893141438823,0.9286,714,0,0.44999999999999996,714.0
38,0.13263979213829127,0.9304,696,0,0.45953333333333335,696.0
39,0.12215174022366343,0.9187,813,0,0.4559666666666667,813.0
40,0.11916529684023604,0.9346,654,0,0.4832,654.0
41,0.3062932805351614,0.9179,820,0,0.44416666666666665,820.0
42,0.17059651600362744,0.933,669,0,0.46436666666666665,669.0
43,0.09709493360964884,0.9307,693,0,0.4688666666666667,693.0
44,0.14510673969613477,0.9131,868,0,0.441,868.0
45,0.24706789713684488,0.666,3339,0,0.2718333333333333,3339.0
46,0.3744058051450506,0.9266,734,0,0.4369,734.0
47,0.2543998236977617,0.9037,963,0,0.4252333333333333,963.0
48,0.22797184089039424,0.923,769,0,0.44416666666666665,769.0
49,0.12915948089569754,0.9316,684,0,0.4681,684.0
50,0.09089295825161962,0.9334,665,0,0.4670666666666667,665.0
51,0.07550727025269292,0.9288,712,0,0.4592333333333334,712.0
52,0.07499547527995722,0.925,749,0,0.46593333333333337,749.0
53,0.07655032155840262,0.9355,645,0,0.46049999999999996,645.0
54,0.07644859668319268,0.9332,667,0,0.4750666666666667,667.0
55,0.09047990998319866,0.9308,692,0,0.4674666666666667,692.0
56,0.06644642510228704,0.9278,722,0,0.46573333333333333,722.0
57,0.08545567164194313,0.9282,717,0,0.44543333333333335,717.0
58,0.08052993322646222,0.9307,693,0,0.46013333333333334,693.0
59,0.0647106607668882,0.9306,694,0,0.4531,694.0
60,0.06183930456046711,0.9342,657,0,0.4524333333333333,657.0
61,0.05971039095499356,0.9318,682,0,0.4537,682.0
62,0.12899795706736583,0.9256,744,0,0.4631333333333334,744.0
63,0.07914218978865323,0.9334,665,0,0.4626666666666667,665.0
64,0.05851727737403145,0.9317,683,0,0.4660333333333333,683.0
65,0.0494228284176192,0.9324,675,0,0.45546666666666663,675.0
66,0.060835493302678144,0.9234,766,0,0.4479666666666667,766.0
67,0.06219922244974638,0.9256,744,0,0.4451666666666667,744.0
68,0.05252007522212299,0.9325,675,0,0.4554,675.0
69,0.06105029146937917,0.9176,824,0,0.4342,824.0
70,0.05943667490269345,0.9334,665,0,0.4784,665.0
71,0.0414235192793137,0.9324,675,0,0.4678,675.0
72,0.04888515062443262,0.9268,732,0,0.4438666666666667,732.0
73,0.05454243698123238,0.933,669,0,0.4643333333333333,669.0
74,0.048161022409993384,0.9308,692,0,0.44263333333333327,692.0
75,0.04211692330951641,0.939,610,0,0.47493333333333326,610.0
76,0.04267950849740662,0.9253,746,0,0.45976666666666666,746.0
77,0.08667251923004488,0.9285,715,0,0.4592666666666667,715.0
78,0.04368013571513033,0.9317,683,0,0.452,683.0
79,0.03411356966166853,0.9331,668,0,0.4465666666666667,668.0
80,0.10803679375580949,0.9337,663,0,0.46670000000000006,663.0
81,0.02547031840497228,0.9341,658,0,0.45259999999999995,658.0
82,0.03445303075224402,0.9351,648,0,0.4632666666666667,648.0
83,0.03165501485715651,0.9313,686,0,0.45533333333333337,686.0
84,0.04721753046261537,0.9268,732,0,0.44850000000000007,732.0
85,0.030699262572816098,0.936,639,0,0.45353333333333334,639.0
86,0.039292114900222316,0.9299,701,0,0.4592,701.0
87,0.03550784976423164,0.9386,614,0,0.4717,614.0
88,0.02910327000604832,0.9343,656,0,0.44380000000000003,656.0
89,0.053143528085324895,0.9363,636,0,0.45696666666666674,636.0
90,0.03423888032283166,0.9359,641,0,0.4759333333333333,641.0
91,0.03237794348725746,0.9338,662,0,0.4631,662.0
92,0.1960300699893847,0.932,679,0,0.4375,679.0
93,0.05907771368080305,0.9328,672,0,0.4600666666666667,672.0
94,0.025023443886362517,0.9373,626,0,0.4588666666666667,626.0
95,0.02253200498020096,0.935,649,0,0.4564333333333333,649.0
96,0.02497807470497506,0.9356,644,0,0.4579,644.0
97,0.031023567011453906,0.9343,656,0,0.463,656.0
98,0.06413594739531722,0.9314,686,0,0.4399333333333333,686.0
99,0.030579260570959336,0.9358,642,0,0.4619333333333333,642.0
100,0.02970331562536705,0.9318,682,0,0.43910000000000005,682.0
101,0.06921072603119245,0.928,719,0,0.4347666666666667,719.0
102,0.040556771941986876,0.9348,652,0,0.46303333333333335,652.0
103,0.024223692513066532,0.933,669,0,0.4438,669.0
104,0.024207981024486017,0.9332,667,0,0.45303333333333334,667.0
105,0.027456793338417954,0.9361,638,0,0.45566666666666666,638.0
106,0.0316449847557122,0.927,729,0,0.44869999999999993,729.0
107,0.03258354734138437,0.9348,652,0,0.46596666666666664,652.0
108,0.03434674625529178,0.9346,654,0,0.4499666666666667,654.0
109,0.03293259794656517,0.9359,641,0,0.4726333333333334,641.0
110,0.025583510637621803,0.9347,653,0,0.46823333333333333,653.0
111,0.018946275873388853,0.9314,686,0,0.44873333333333326,686.0
112,0.032899560394690185,0.9353,646,0,0.45816666666666667,646.0
113,0.01798955014999316,0.9282,717,0,0.4578,717.0
114,0.03584398340973146,0.9303,696,0,0.461,696.0
115,0.03431538591531339,0.9274,726,0,0.4376333333333334,726.0
116,0.05251334092655741,0.9268,732,0,0.4388666666666667,732.0
117,0.02395049166083653,0.935,649,0,0.47186666666666666,649.0
118,0.11340963163729136,0.9249,750,0,0.444,750.0
119,0.0448490401454928,0.9348,652,0,0.46049999999999996,652.0
120,0.014295564928808433,0.9333,666,0,0.45100000000000007,666.0
121,0.010783991570495895,0.9372,627,0,0.45256666666666673,627.0
122,0.019224901499736033,0.9315,685,0,0.4448666666666666,685.0
123,0.028578826924176466,0.9318,682,0,0.44226666666666664,682.0
124,0.020001257834015383,0.925,749,0,0.4549,749.0
125,0.017140991260005237,0.937,629,0,0.4582333333333333,629.0
126,0.01957263151601946,0.93,699,0,0.4482,699.0
127,0.023586258399826483,0.9344,655,0,0.4472,655.0
128,0.02586351219247937,0.9359,641,0,0.4655,641.0
129,0.02559537151193381,0.9318,682,0,0.444,682.0
130,0.025289183164874406,0.9334,665,0,0.45246666666666674,665.0
131,0.03313987812172194,0.9233,766,0,0.4401,766.0
132,0.030907396980062334,0.9298,702,0,0.4687333333333334,702.0
133,0.07256341024627422,0.9335,665,0,0.4591333333333332,665.0
134,0.016620742868393153,0.9299,701,0,0.4520666666666666,701.0
135,0.04304241147595017,0.9329,671,0,0.44966666666666666,671.0
136,0.015496212911037229,0.9366,634,0,0.46159999999999995,634.0
137,0.008740805371639297,0.9377,623,0,0.47270000000000006,623.0
138,0.018441222555672078,0.9371,628,0,0.4586666666666666,628.0
139,0.03097176073943348,0.9113,887,0,0.41596666666666665,887.0
140,0.20723889796059242,0.9215,785,0,0.4273666666666666,785.0
141,0.06492165670088976,0.9212,787,0,0.45006666666666667,787.0
142,0.0441470817839227,0.9312,687,0,0.44813333333333333,687.0
143,0.0203507033601824,0.931,689,0,0.4609666666666667,689.0
144,0.0615406167912553,0.9243,756,0,0.45526666666666665,756.0
145,0.031959604265401544,0.9323,676,0,0.45626666666666665,676.0
146,0.12798000798689893,0.9182,817,0,0.44716666666666666,817.0
147,0.046337798888344855,0.9271,728,0,0.45759999999999995,728.0
148,0.02129688500825935,0.9303,696,0,0.4591,696.0
149,0.020131019753607943,0.9261,738,0,0.4576666666666666,738.0
150,0.016667123728291423,0.9293,706,0,0.46166666666666667,706.0
151,0.012376621014688567,0.9256,744,0,0.47009999999999996,744.0
152,0.013213628630697208,0.9329,671,0,0.46336666666666665,671.0
153,0.016061515648703333,0.9291,708,0,0.4557333333333333,708.0
154,0.023857389515376345,0.9288,712,0,0.45223333333333327,712.0
155,0.0173214815674231,0.932,679,0,0.46826666666666666,679.0
156,0.016808098664301663,0.9343,656,0,0.47333333333333333,656.0
157,0.038310120764331095,0.9296,704,0,0.4522,704.0
158,0.03130537793885455,0.9274,726,0,0.4382,726.0
159,0.01817232593078666,0.9339,661,0,0.44406666666666667,661.0
160,0.015655095846282555,0.929,709,0,0.45713333333333334,709.0
161,0.01808870282095965,0.9209,790,0,0.42156666666666665,790.0
162,0.02309181962197963,0.9333,666,0,0.44680000000000003,666.0
163,0.017001721468692856,0.9334,665,0,0.4538,665.0
164,0.014108291825681967,0.9307,693,0,0.44250000000000006,693.0
165,0.02033033352040349,0.9208,792,0,0.43143333333333334,792.0
166,0.027027124037217864,0.9305,695,0,0.44373333333333337,695.0
167,0.023090553424509757,0.9298,702,0,0.4562,702.0
168,0.01430585652459491,0.9365,635,0,0.4635,635.0
169,0.08387961833255063,0.913,869,0,0.43316666666666664,869.0
170,0.02019491828117645,0.9341,658,0,0.45999999999999996,658.0
