load_file,dataset,corruption_name,corruption_severity,Method,BNN,use_pretrained,Tune_last_layer_only,augment_test,seed,val_loss,val_accuracy,base_aic0,base_aic1,base_aic2,up0,up1,up2,elbo,ece
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.955588386,74.18,75.33,74.97,74.9,3.33,2.39,2.02,0,0.136639699
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.954539728,74.62,75.62,75.47,75.28,3.3,2.51,2.1,0,0.133601546
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.95659232,74.2,75.38,75.05,74.8,3.58,2.51,2,0,0.135708883
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.879097818,56.32,58.62,58.11,57.83,5.26,3.95,3.15,0,0.272366196
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.978136814,55.91,58.1,57.67,57.33,4.73,3.5,2.86,0,0.271716714
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.875770126,56.47,58.74,58.08,57.86,5.21,3.83,3.21,0,0.270528555
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.943261986,40.34,42.73,42.19,41.78,5.23,3.93,3.1,0,0.413710535
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.221857981,38.21,41.34,40.44,40.07,5.91,4.31,3.42,0,0.432491511
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.94067307,40.42,42.86,42.29,41.86,5.48,4.01,3.26,0,0.4129861
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.450590762,33.89,36.54,35.83,35.35,5.07,3.72,2.92,0,0.480284959
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.44544106,33.94,36.54,35.77,35.57,5.16,3.75,3.17,0,0.479222775
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.818530819,31.96,34.79,34.15,33.76,5.77,4.21,3.46,0,0.495497823
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.919128755,28.51,31.34,30.63,30.02,5.09,3.78,2.99,0,0.537097692
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.918809876,28.43,31.09,30.51,30.23,4.94,3.68,3.04,0,0.537394881
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,4.366261193,25.77,29.28,28.58,28,5.41,4.01,3.23,0,0.561389625
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.576137853,83.97,84.42,84.28,84.15,2.13,1.49,1.2,0,0.079684399
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.578950416,84.08,84.49,84.42,84.3,2.09,1.52,1.26,0,0.077909656
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.814806305,76.83,77.79,77.52,77.44,3.68,2.51,2.21,0,0.106739581
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.509580527,85.28,85.88,85.69,85.62,2.2,1.59,1.3,0,0.065085098
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.004251203,72.86,74.27,74.04,73.97,3.37,2.48,2.09,0,0.145167083
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.002096133,73.07,74.32,74.04,73.96,3.41,2.51,2.09,0,0.142934605
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.109420405,71.02,72.42,72.13,71.9,4.16,3.09,2.38,0,0.153452858
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,gaussian_noise,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.167807315,70.05,71.3,71.05,71.01,3.97,2.92,2.52,0,0.161599189
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.831845474,77.35,78.26,78.03,77.98,3.05,2.22,1.83,0,0.116251498
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.831225688,77.33,78.21,78.09,77.89,2.88,2.18,1.9,0,0.11560408
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.865872375,76.31,77.32,77.13,76.96,3.37,2.42,2.07,0,0.118550345
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.338465692,50.11,52.82,52.07,51.83,5.65,4.16,3.62,0,0.317924261
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.915739461,74.55,75.56,75.33,75.24,3.13,2.26,1.93,0,0.133532256
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.914598538,74.64,75.4,75.04,74.98,3.02,2.14,1.72,0,0.132359385
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,3.527427427,34.72,38.19,37.31,36.86,6.09,4.37,3.68,0,0.455176681
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.974187381,73.4,74.52,74.34,74.22,3.34,2.58,2.16,0,0.13498722
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.113414371,70.09,71.55,71.23,71.08,4.04,3.02,2.55,0,0.15632996
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,snow,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.108311212,70.03,71.41,71.09,70.89,4.06,3.04,2.52,0,0.156816542
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,2,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.544186372,62.1,63.73,63.25,63.1,4.67,3.49,2.94,0,0.215829372
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,gaussian_noise,4,bottomup,FALSE,FALSE,FALSE,FALSE,0,4.022424676,28.93,32.9,31.87,31.35,6.59,4.74,3.94,0,0.507248402
../../../saved_checkpoint/cifar10/cifar10_bottomup_2.model,cifar10c,snow,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,1.299888105,66.38,68.15,67.89,67.73,4.59,3.43,2.93,0,0.182027712
../../../saved_checkpoint/cifar10/cifar10_bottomup_5.model,cifar10c,gaussian_noise,5,bottomup,FALSE,FALSE,FALSE,FALSE,0,4.445269011,25.16,28.99,28.06,27.57,6.29,4.5,3.73,0,0.54725194
../../../saved_checkpoint/cifar10/cifar10_bottomup_4.model,cifar10c,gaussian_noise,3,bottomup,FALSE,FALSE,FALSE,FALSE,0,2.464856811,46.16,48.96,48.31,47.99,6.36,4.71,3.93,0,0.351526171
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,frost,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.487028352,85.38,85.92,85.62,85.6,1.96,1.46,1.24,0,0.065818056
../../../saved_checkpoint/cifar10/cifar10_bottomup_1.model,cifar10c,frost,1,bottomup,FALSE,FALSE,FALSE,FALSE,0,0.486193293,85.5,85.79,85.69,85.63,2.11,1.55,1.35,0,0.064412713
